[0.042s] Invoking command in '/home/kanat/ur5_new_ws/build/ur_description': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/kanat/turtlebot3_ws/install/turtlebot3_control:/home/kanat/ros2_udemy_beginner/install/my_ros_services_py:/home/kanat/ros2_udemy_beginner/install/my_pkg_py:/opt/ros/jazzy DEBUGINFOD_URLS=https://debuginfod.ubuntu.com PS1=(myenv) \[\e]0;\u@\h: \w\a\]${debian_chroot:+($debian_chroot)}\[\033[01;32m\]\u@\h\[\033[00m\]:\[\033[01;34m\]\w\[\033[00m\]\$ VIRTUAL_ENV_PROMPT=(myenv) /usr/bin/cmake /home/kanat/ur5_new_ws/src/Universal_Robots_ROS2_Description -DAMENT_CMAKE_SYMLINK_INSTALL=1 -DCMAKE_INSTALL_PREFIX=/home/kanat/ur5_new_ws/install/ur_description
[0.068s] -- Found ament_cmake: 2.5.4 (/opt/ros/jazzy/share/ament_cmake/cmake)
[0.519s] -- Override CMake install command with custom implementation using symlinks instead of copying resources
[0.535s] -- Found ament_cmake_pytest: 2.5.4 (/opt/ros/jazzy/share/ament_cmake_pytest/cmake)
[0.580s] [33mCMake Warning at /opt/ros/jazzy/share/ament_cmake_pytest/cmake/ament_add_pytest_test.cmake:82 (message):
[0.581s]   The Python module 'pytest' was not found, pytests cannot be run.  On Linux,
[0.581s]   install the 'python3-pytest' package.  On other platforms, install 'pytest'
[0.581s]   using pip.
[0.581s] Call Stack (most recent call first):
[0.581s]   CMakeLists.txt:16 (ament_add_pytest_test)
[0.582s] 
[0.582s] [0m
[0.630s] [33mCMake Warning at /opt/ros/jazzy/share/ament_cmake_pytest/cmake/ament_add_pytest_test.cmake:82 (message):
[0.630s]   The Python module 'pytest' was not found, pytests cannot be run.  On Linux,
[0.630s]   install the 'python3-pytest' package.  On other platforms, install 'pytest'
[0.631s]   using pip.
[0.631s] Call Stack (most recent call first):
[0.631s]   CMakeLists.txt:17 (ament_add_pytest_test)
[0.631s] 
[0.631s] [0m
[0.845s] -- Configuring done (0.8s)
[0.850s] -- Generating done (0.0s)
[0.852s] -- Build files have been written to: /home/kanat/ur5_new_ws/build/ur_description
[0.880s] Invoked command in '/home/kanat/ur5_new_ws/build/ur_description' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/kanat/turtlebot3_ws/install/turtlebot3_control:/home/kanat/ros2_udemy_beginner/install/my_ros_services_py:/home/kanat/ros2_udemy_beginner/install/my_pkg_py:/opt/ros/jazzy DEBUGINFOD_URLS=https://debuginfod.ubuntu.com PS1=(myenv) \[\e]0;\u@\h: \w\a\]${debian_chroot:+($debian_chroot)}\[\033[01;32m\]\u@\h\[\033[00m\]:\[\033[01;34m\]\w\[\033[00m\]\$ VIRTUAL_ENV_PROMPT=(myenv) /usr/bin/cmake /home/kanat/ur5_new_ws/src/Universal_Robots_ROS2_Description -DAMENT_CMAKE_SYMLINK_INSTALL=1 -DCMAKE_INSTALL_PREFIX=/home/kanat/ur5_new_ws/install/ur_description
[0.882s] Invoking command in '/home/kanat/ur5_new_ws/build/ur_description': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/kanat/turtlebot3_ws/install/turtlebot3_control:/home/kanat/ros2_udemy_beginner/install/my_ros_services_py:/home/kanat/ros2_udemy_beginner/install/my_pkg_py:/opt/ros/jazzy DEBUGINFOD_URLS=https://debuginfod.ubuntu.com PS1=(myenv) \[\e]0;\u@\h: \w\a\]${debian_chroot:+($debian_chroot)}\[\033[01;32m\]\u@\h\[\033[00m\]:\[\033[01;34m\]\w\[\033[00m\]\$ VIRTUAL_ENV_PROMPT=(myenv) /usr/bin/cmake --build /home/kanat/ur5_new_ws/build/ur_description -- -j20 -l20
[0.972s] Invoked command in '/home/kanat/ur5_new_ws/build/ur_description' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/kanat/turtlebot3_ws/install/turtlebot3_control:/home/kanat/ros2_udemy_beginner/install/my_ros_services_py:/home/kanat/ros2_udemy_beginner/install/my_pkg_py:/opt/ros/jazzy DEBUGINFOD_URLS=https://debuginfod.ubuntu.com PS1=(myenv) \[\e]0;\u@\h: \w\a\]${debian_chroot:+($debian_chroot)}\[\033[01;32m\]\u@\h\[\033[00m\]:\[\033[01;34m\]\w\[\033[00m\]\$ VIRTUAL_ENV_PROMPT=(myenv) /usr/bin/cmake --build /home/kanat/ur5_new_ws/build/ur_description -- -j20 -l20
[0.975s] Invoking command in '/home/kanat/ur5_new_ws/build/ur_description': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/kanat/turtlebot3_ws/install/turtlebot3_control:/home/kanat/ros2_udemy_beginner/install/my_ros_services_py:/home/kanat/ros2_udemy_beginner/install/my_pkg_py:/opt/ros/jazzy DEBUGINFOD_URLS=https://debuginfod.ubuntu.com PS1=(myenv) \[\e]0;\u@\h: \w\a\]${debian_chroot:+($debian_chroot)}\[\033[01;32m\]\u@\h\[\033[00m\]:\[\033[01;34m\]\w\[\033[00m\]\$ VIRTUAL_ENV_PROMPT=(myenv) /usr/bin/cmake --install /home/kanat/ur5_new_ws/build/ur_description
[0.992s] -- Install configuration: ""
[0.992s] -- Execute custom install script
[0.995s] -- Symlinking: /home/kanat/ur5_new_ws/install/ur_description/share/ur_description/config/initial_positions.yaml
[1.015s] -- Symlinking: /home/kanat/ur5_new_ws/install/ur_description/share/ur_description/config/ur10/default_kinematics.yaml
[1.035s] -- Symlinking: /home/kanat/ur5_new_ws/install/ur_description/share/ur_description/config/ur10/joint_limits.yaml
[1.058s] -- Symlinking: /home/kanat/ur5_new_ws/install/ur_description/share/ur_description/config/ur10/physical_parameters.yaml
[1.078s] -- Symlinking: /home/kanat/ur5_new_ws/install/ur_description/share/ur_description/config/ur10/visual_parameters.yaml
[1.097s] -- Symlinking: /home/kanat/ur5_new_ws/install/ur_description/share/ur_description/config/ur10e/default_kinematics.yaml
[1.118s] -- Symlinking: /home/kanat/ur5_new_ws/install/ur_description/share/ur_description/config/ur10e/joint_limits.yaml
[1.137s] -- Symlinking: /home/kanat/ur5_new_ws/install/ur_description/share/ur_description/config/ur10e/physical_parameters.yaml
[1.155s] -- Symlinking: /home/kanat/ur5_new_ws/install/ur_description/share/ur_description/config/ur10e/visual_parameters.yaml
[1.175s] -- Symlinking: /home/kanat/ur5_new_ws/install/ur_description/share/ur_description/config/ur12e/default_kinematics.yaml
[1.193s] -- Symlinking: /home/kanat/ur5_new_ws/install/ur_description/share/ur_description/config/ur12e/joint_limits.yaml
[1.215s] -- Symlinking: /home/kanat/ur5_new_ws/install/ur_description/share/ur_description/config/ur12e/physical_parameters.yaml
[1.239s] -- Symlinking: /home/kanat/ur5_new_ws/install/ur_description/share/ur_description/config/ur12e/visual_parameters.yaml
[1.258s] -- Symlinking: /home/kanat/ur5_new_ws/install/ur_description/share/ur_description/config/ur15/default_kinematics.yaml
[1.276s] -- Symlinking: /home/kanat/ur5_new_ws/install/ur_description/share/ur_description/config/ur15/joint_limits.yaml
[1.295s] -- Symlinking: /home/kanat/ur5_new_ws/install/ur_description/share/ur_description/config/ur15/physical_parameters.yaml
[1.316s] -- Symlinking: /home/kanat/ur5_new_ws/install/ur_description/share/ur_description/config/ur15/visual_parameters.yaml
[1.334s] -- Symlinking: /home/kanat/ur5_new_ws/install/ur_description/share/ur_description/config/ur16e/default_kinematics.yaml
[1.353s] -- Symlinking: /home/kanat/ur5_new_ws/install/ur_description/share/ur_description/config/ur16e/joint_limits.yaml
[1.370s] -- Symlinking: /home/kanat/ur5_new_ws/install/ur_description/share/ur_description/config/ur16e/physical_parameters.yaml
[1.389s] -- Symlinking: /home/kanat/ur5_new_ws/install/ur_description/share/ur_description/config/ur16e/visual_parameters.yaml
[1.411s] -- Symlinking: /home/kanat/ur5_new_ws/install/ur_description/share/ur_description/config/ur18/default_kinematics.yaml
[1.433s] -- Symlinking: /home/kanat/ur5_new_ws/install/ur_description/share/ur_description/config/ur18/joint_limits.yaml
[1.453s] -- Symlinking: /home/kanat/ur5_new_ws/install/ur_description/share/ur_description/config/ur18/physical_parameters.yaml
[1.469s] -- Symlinking: /home/kanat/ur5_new_ws/install/ur_description/share/ur_description/config/ur18/visual_parameters.yaml
[1.487s] -- Symlinking: /home/kanat/ur5_new_ws/install/ur_description/share/ur_description/config/ur20/default_kinematics.yaml
[1.507s] -- Symlinking: /home/kanat/ur5_new_ws/install/ur_description/share/ur_description/config/ur20/joint_limits.yaml
[1.527s] -- Symlinking: /home/kanat/ur5_new_ws/install/ur_description/share/ur_description/config/ur20/physical_parameters.yaml
[1.543s] -- Symlinking: /home/kanat/ur5_new_ws/install/ur_description/share/ur_description/config/ur20/visual_parameters.yaml
[1.562s] -- Symlinking: /home/kanat/ur5_new_ws/install/ur_description/share/ur_description/config/ur3/default_kinematics.yaml
[1.578s] -- Symlinking: /home/kanat/ur5_new_ws/install/ur_description/share/ur_description/config/ur3/joint_limits.yaml
[1.595s] -- Symlinking: /home/kanat/ur5_new_ws/install/ur_description/share/ur_description/config/ur3/physical_parameters.yaml
[1.614s] -- Symlinking: /home/kanat/ur5_new_ws/install/ur_description/share/ur_description/config/ur3/visual_parameters.yaml
[1.635s] -- Symlinking: /home/kanat/ur5_new_ws/install/ur_description/share/ur_description/config/ur30/default_kinematics.yaml
[1.659s] -- Symlinking: /home/kanat/ur5_new_ws/install/ur_description/share/ur_description/config/ur30/joint_limits.yaml
[1.684s] -- Symlinking: /home/kanat/ur5_new_ws/install/ur_description/share/ur_description/config/ur30/physical_parameters.yaml
[1.709s] -- Symlinking: /home/kanat/ur5_new_ws/install/ur_description/share/ur_description/config/ur30/visual_parameters.yaml
[1.739s] -- Symlinking: /home/kanat/ur5_new_ws/install/ur_description/share/ur_description/config/ur3e/default_kinematics.yaml
[1.761s] -- Symlinking: /home/kanat/ur5_new_ws/install/ur_description/share/ur_description/config/ur3e/joint_limits.yaml
[1.779s] -- Symlinking: /home/kanat/ur5_new_ws/install/ur_description/share/ur_description/config/ur3e/physical_parameters.yaml
[1.796s] -- Symlinking: /home/kanat/ur5_new_ws/install/ur_description/share/ur_description/config/ur3e/visual_parameters.yaml
[1.816s] -- Symlinking: /home/kanat/ur5_new_ws/install/ur_description/share/ur_description/config/ur5/default_kinematics.yaml
[1.832s] -- Symlinking: /home/kanat/ur5_new_ws/install/ur_description/share/ur_description/config/ur5/joint_limits.yaml
